"id","eixo","subeixo","modalidade","fonte","subfonte","ano_selecao","uf","municipio","regiao","codigo","grupo_modalidade","vlr_portaria_ogu","vlr_portaria_fin","vlr_portaria_total","status_selecao","tipo_financiamento","origem_dado","num_portaria","link_portaria"
S-1,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,SC,LAJES,Sul,"56000000686/2025",Seleção Normal,,28555358.2,28555358.2,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-2,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,SALVADOR,Nordeste,"56000000563/2025",Seleção Normal,,35130080.92,35130080.92,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-3,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,JAGUARARI,Nordeste,"56000000601/2025",Seleção Normal,,29657922.79,29657922.79,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-4,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,ITAPICURU,Nordeste,"56000000669/2025",Seleção Normal,,35940485,35940485,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-5,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,SALVADOR,Nordeste,"56000000911/2025",Seleção Normal,,76963437.59,76963437.59,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-6,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,IBIRATAIA,Nordeste,"56000001219/2025",Seleção Normal,,91304589.95,91304589.95,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-7,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,ITUBERA,Nordeste,"56000001330/2025",Seleção Normal,,133650435.7,133650435.7,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-8,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,FEIRA DE SANTANA,Nordeste,"56000000622/2025",Seleção Normal,,365000000,365000000,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-9,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,MATA DE SAO JOAO,Nordeste,"56000008233/2025",Seleção Normal,,89186425.26,89186425.26,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-10,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,GO,CATALAO,Centro-Oeste,"56000001438/2025",Seleção Normal,,8000000,8000000,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
